Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
MODULE                                                                  TYPE                  SHAPE
unet.u_blocks.3.resblocks.2                                             ResBlock              (2, 64, 64, 64)
unet.u_blocks.3[0]                                                      ResBlocks             (2, 64, 64, 64)
unet.u_blocks.3[1][0]                                                   ResBlocks             (2, 64, 64, 64)
unet.u_blocks.3[1][1]                                                   ResBlocks             (2, 64, 64, 64)
unet.u_blocks.3[1][2]                                                   ResBlocks             (2, 64, 64, 64)
unet[0]                                                                 UNet                  (2, 64, 64, 64)
norm_out.norm                                                           GroupNorm             (2, 64, 64, 64)
norm_out                                                                GroupNorm             (2, 64, 64, 64)
conv_out                                                                Conv2d                (2, 3, 64, 64)

=== 242 hook fires ===
first 15 call order: ['noise_emb', 'act_emb.0', 'act_emb.1', 'act_emb', 'cond_proj.0', 'cond_proj.1', 'cond_proj.2', 'cond_proj', 'conv_in', 'unet.downsamples.0', 'unet.d_blocks.0.resblocks.0.proj', 'unet.d_blocks.0.resblocks.0.norm1.linear', 'unet.d_blocks.0.resblocks.0.norm1', 'unet.d_blocks.0.resblocks.0.conv1', 'unet.d_blocks.0.resblocks.0.norm2.linear']
